PeakCoordinates,log2 Fold Change GR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change GR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
2:70593365-70593719,3.62,2.17E-15,8.24E-15,ENSRNOG00000053969,AABR07008681.1,95636,,7:91181053-91181592,4,4.62E-08,1.76E-07,ENSRNOG00000004387,Utp23,202595
5:161321042-161321927,5.39,2.21E-15,8.37E-15,ENSRNOG00000054558,AABR07050336.1,201015,,1:153588300-153588741,3.77,4.94E-08,1.87E-07,ENSRNOG00000016848,Fzd4,730
3:143216289-143216842,3.66,2.26E-15,8.51E-15,ENSRNOG00000005195,Cst3,2844,,8:68000579-68001083,3.56,5.02E-08,1.89E-07,ENSRNOG00000057119,U6,23734
7:136808210-136808614,4.57,2.32E-15,8.72E-15,ENSRNOG00000006235,Nell2,0,,19:24827317-24827638,4.7,5.07E-08,1.90E-07,ENSRNOG00000004131,Pkn1,0
5:78297017-78297526,5.75,2.44E-15,9.12E-15,ENSRNOG00000014869,Wdr31,8000,,2:87995252-87995545,4.18,5.06E-08,1.90E-07,ENSRNOG00000031320,LOC499565,24916
13:71332503-71332910,6.15,2.50E-15,9.32E-15,ENSRNOG00000049560,Glul,0,,16:3901502-3902048,3.79,5.54E-08,2.07E-07,ENSRNOG00000010984,Anxa11,0
6:33627916-33628289,4.75,2.53E-15,9.39E-15,ENSRNOG00000055666,AC142360.1,53755,,3:117858471-117858845,3.97,5.95E-08,2.21E-07,ENSRNOG00000031585,LOC679683,3991
2:183263544-183264080,4.19,2.86E-15,1.06E-14,ENSRNOG00000061763,AABR07012039.1,12617,,1:127118263-127118719,4.44,6.00E-08,2.22E-07,ENSRNOG00000012698,Chsy1,46694
4:11405221-11405728,5.58,2.90E-15,1.07E-14,ENSRNOG00000013962,Magi2,0,,1:221826000-221826368,5.14,6.09E-08,2.25E-07,ENSRNOG00000021103,Nrxn2,0
12:10363201-10363656,4.27,2.91E-15,1.07E-14,ENSRNOG00000048898,Wasf3,27703,,7:25366420-25366907,3.89,6.21E-08,2.29E-07,ENSRNOG00000061363,AABR07056438.1,207436
5:161806322-161806810,5.22,2.95E-15,1.08E-14,ENSRNOG00000033522,Prdm2,0,,8:128699689-128700102,3.94,6.34E-08,2.32E-07,ENSRNOG00000037085,Xirp1,2031
15:108290508-108290856,4.75,3.30E-15,1.20E-14,ENSRNOG00000012710,Ubac2,0,,17:66219380-66219734,5.11,6.41E-08,2.34E-07,ENSRNOG00000017593,Mtr,0
9:44860037-44860538,5.92,3.38E-15,1.23E-14,ENSRNOG00000018830,Aff3,0,,15:11491310-11491880,3.37,6.65E-08,2.42E-07,ENSRNOG00000005883,Nek10,140879
4:146436135-146436602,4.69,3.61E-15,1.31E-14,ENSRNOG00000007420,Hrh1,18730,,7:83605053-83605526,3.92,6.71E-08,2.43E-07,ENSRNOG00000004200,Sybu,0
10:84869083-84869458,6.3,4.51E-15,1.63E-14,ENSRNOG00000049162,Prr15l,2222,,10:85359021-85359435,5.08,7.12E-08,2.58E-07,ENSRNOG00000022771,Arhgap23,25446
5:148380294-148380796,4.57,4.57E-15,1.64E-14,ENSRNOG00000013179,Tinagl1,1910,,4:62873575-62874035,3.61,7.36E-08,2.65E-07,ENSRNOG00000011750,Fam180a,13130
11:33939582-33940044,3.41,4.75E-15,1.70E-14,ENSRNOG00000051204,Dopey2,0,,4:182124081-182124523,3.79,7.46E-08,2.66E-07,ENSRNOG00000001847,Ccdc91,80489
1:240687943-240688297,6.14,4.90E-15,1.75E-14,ENSRNOG00000027770,Trpm3,0,,1:165723772-165724146,3.7,7.45E-08,2.66E-07,ENSRNOG00000018873,Fam168a,305
4:100080946-100081445,4.71,5.06E-15,1.80E-14,ENSRNOG00000010716,Atoh8,0,,X:128829075-128829405,3.51,7.43E-08,2.66E-07,ENSRNOG00000057469,AABR07041403.1,52961
7:123027254-123027631,5.23,5.40E-15,1.92E-14,ENSRNOG00000055925,Zc3h7b,105,,4:27803824-27804268,4.19,7.50E-08,2.67E-07,ENSRNOG00000009258,Cdk6,0
3:162817575-162817910,4.9,5.79E-15,2.05E-14,ENSRNOG00000006052,Sulf2,0,,1:134655445-134655873,3.71,7.66E-08,2.71E-07,ENSRNOG00000012874,Rgma,43426
4:132570918-132571280,4.59,6.12E-15,2.16E-14,ENSRNOG00000005353,Rybp,118251,,2:248908348-248908695,5.19,7.80E-08,2.75E-07,ENSRNOG00000058016,AABR07013672.1,14196
20:19252484-19253004,5.15,6.93E-15,2.44E-14,ENSRNOG00000055467,RNaseP_nuc,60770,,6:135922518-135922917,2.98,8.17E-08,2.87E-07,ENSRNOG00000033736,Diras3,16018
3:147605327-147605707,4.29,7.11E-15,2.49E-14,ENSRNOG00000031167,Srxn1,3388,,1:274472201-274472600,3.38,8.70E-08,3.05E-07,ENSRNOG00000014705,Rbm20,0
17:66219380-66219734,6.08,7.23E-15,2.52E-14,ENSRNOG00000017593,Mtr,0,,1:170571299-170571772,4.41,8.77E-08,3.06E-07,ENSRNOG00000018766,Rrp8,2577
20:13741296-13741704,4.78,7.50E-15,2.61E-14,ENSRNOG00000006589,Mif,8438,,2:93675011-93675322,4.91,9.36E-08,3.24E-07,ENSRNOG00000010482,Impa1,0
4:147150143-147150623,5.49,7.81E-15,2.71E-14,ENSRNOG00000008157,Syn2,0,,16:73632533-73632882,4.91,9.31E-08,3.24E-07,ENSRNOG00000018077,Agpat6,0
4:112734371-112734927,4.81,7.99E-15,2.76E-14,ENSRNOG00000006968,Mrpl19,27102,,19:44015626-44016137,2.92,9.36E-08,3.24E-07,ENSRNOG00000019326,Cfdp1,0
15:4139275-4140383,4.08,8.56E-15,2.95E-14,ENSRNOG00000027012,Usp54,0,,3:81588219-81588552,5.1,9.58E-08,3.29E-07,ENSRNOG00000007989,Chst1,75413
14:33298446-33298807,4.5,8.61E-15,2.96E-14,ENSRNOG00000047065,Spink2,44534,,7:141366793-141367449,3.5,9.53E-08,3.29E-07,ENSRNOG00000061572,Smarcd1,62
X:111111232-111111578,3.92,8.92E-15,3.05E-14,ENSRNOG00000061101,Ripply1,8769,,4:120085205-120085707,3.63,9.64E-08,3.31E-07,ENSRNOG00000054709,AABR07061382.2,43487
11:73080450-73080786,4.4,8.96E-15,3.06E-14,ENSRNOG00000001730,Acap2,0,,1:279231870-279232191,3.5,1.02E-07,3.47E-07,ENSRNOG00000017438,Gfra1,0
5:165027690-165028101,6.18,9.43E-15,3.21E-14,ENSRNOG00000026447,Ptchd2,24770,,6:33653852-33654444,3.01,1.08E-07,3.66E-07,ENSRNOG00000021403,Rhob,34683
17:5971452-5971756,3.83,9.57E-15,3.25E-14,ENSRNOG00000018839,Ntrk2,0,,10:55741248-55741671,4.11,1.07E-07,3.66E-07,ENSRNOG00000047266,AABR07072133.1,72
7:73302260-73302600,4.39,9.62E-15,3.25E-14,ENSRNOG00000060779,U6,3423,,20:8091796-8092295,4.11,1.14E-07,3.87E-07,ENSRNOG00000000508,Armc12,17340
9:94778619-94779150,4.56,9.89E-15,3.34E-14,ENSRNOG00000017020,Inpp5d,0,,3:162862059-162862547,4.18,1.16E-07,3.91E-07,ENSRNOG00000006052,Sulf2,0
13:98661283-98661594,6.08,1.09E-14,3.64E-14,ENSRNOG00000002969,Itpkb,0,,1:84306575-84307046,4.51,1.16E-07,3.91E-07,ENSRNOG00000018369,Prx,0
6:135922518-135922917,3.26,1.08E-14,3.64E-14,ENSRNOG00000033736,Diras3,16018,,6:41361545-41361906,3.93,1.19E-07,4.00E-07,ENSRNOG00000058570,AABR07063674.1,85539
7:60294477-60294834,4.15,1.12E-14,3.74E-14,ENSRNOG00000005689,Yeats4,0,,14:11066292-11066895,3.56,1.23E-07,4.11E-07,ENSRNOG00000002258,Tmem150c,28268
2:227167338-227167787,4.61,1.12E-14,3.74E-14,ENSRNOG00000014660,Usp53,6960,,20:4329560-4330002,3.3,1.32E-07,4.37E-07,ENSRNOG00000000443,C4a,0
15:6202706-6203106,4.91,1.20E-14,3.97E-14,ENSRNOG00000014661,Zfp385d,0,,7:73141678-73142168,4.66,1.31E-07,4.37E-07,ENSRNOG00000006060,Matn2,0
1:260945025-260945522,3.63,1.21E-14,4.00E-14,ENSRNOG00000026065,Slit1,0,,8:65031651-65032157,3.28,1.40E-07,4.65E-07,ENSRNOG00000051221,Rn60_8_0647.2,28356
5:169826359-169826802,4.68,1.23E-14,4.05E-14,ENSRNOG00000057128,AABR07050561.1,71500,,6:127562067-127562509,2.81,1.42E-07,4.69E-07,ENSRNOG00000037762,Serpina1f,2302
15:24881180-24881594,4.33,1.23E-14,4.05E-14,ENSRNOG00000060872,AABR07017513.1,0,,15:42983405-42983740,3.95,1.50E-07,4.94E-07,ENSRNOG00000009449,Trim35,6614
8:62496736-62497171,4.53,1.25E-14,4.10E-14,ENSRNOG00000019579,Edc3,0,,5:156987018-156987467,3.59,1.51E-07,4.95E-07,ENSRNOG00000016553,Vwa5b1,15359
4:124675573-124676033,4.55,1.30E-14,4.25E-14,ENSRNOG00000023257,Adamts9,0,,10:94149627-94150032,4.12,1.55E-07,5.06E-07,ENSRNOG00000007433,Cyb561,2072
18:51587719-51588215,4.37,1.31E-14,4.28E-14,ENSRNOG00000015225,Gramd3,0,,19:17552529-17552974,4.3,1.64E-07,5.34E-07,ENSRNOG00000049302,Chd9,57945
17:23135754-23136168,4.83,1.34E-14,4.34E-14,ENSRNOG00000014548,Nedd9,0,,7:123027254-123027631,4.45,1.64E-07,5.34E-07,ENSRNOG00000055925,Zc3h7b,105
9:84477339-84477818,5.09,1.37E-14,4.43E-14,ENSRNOG00000014692,Mogat1,58749,,8:116933091-116933438,3.15,1.68E-07,5.43E-07,ENSRNOG00000030714,Bsn,0
3:91717940-91718318,4.6,1.38E-14,4.46E-14,ENSRNOG00000058157,Ldlrad3,0,,12:30775788-30776243,5.05,1.73E-07,5.60E-07,ENSRNOG00000000931,Sfswap,0
2:124545280-124545890,4.98,1.40E-14,4.50E-14,ENSRNOG00000056100,SNORA17,46190,,7:122569150-122569634,3.6,1.76E-07,5.66E-07,ENSRNOG00000018920,Slc25a17,0
2:235756556-235757214,3.08,1.49E-14,4.78E-14,ENSRNOG00000045743,Etnppl,0,,1:246370099-246370479,4.38,1.80E-07,5.77E-07,ENSRNOG00000051883,U6,1498
7:73141678-73142168,5.53,1.52E-14,4.85E-14,ENSRNOG00000006060,Matn2,0,,17:85864302-85864973,3.21,1.90E-07,6.09E-07,ENSRNOG00000016716,Armc3,49437
1:274472201-274472600,3.88,1.53E-14,4.87E-14,ENSRNOG00000014705,Rbm20,0,,10:57332062-57332502,3.36,2.01E-07,6.41E-07,ENSRNOG00000031364,Kif1c,0
10:91709521-91709897,6.09,1.53E-14,4.87E-14,ENSRNOG00000028436,Rprml,598,,10:102984610-102985080,4.32,2.10E-07,6.70E-07,ENSRNOG00000053967,AC118434.2,120360
16:71596983-71597554,4.48,1.54E-14,4.87E-14,ENSRNOG00000049442,Rps28,3789,,1:176088614-176089079,2.62,2.14E-07,6.78E-07,ENSRNOG00000029082,RGD1566189,9490
11:33093347-33093686,4.72,1.69E-14,5.33E-14,ENSRNOG00000054634,AABR07033645.1,0,,16:60785729-60786216,3.71,2.21E-07,7.00E-07,ENSRNOG00000061769,AABR07026044.1,6370
10:55741248-55741671,4.45,1.83E-14,5.76E-14,ENSRNOG00000047266,AABR07072133.1,72,,15:71642904-71643331,3.83,2.35E-07,7.42E-07,ENSRNOG00000013306,Pcdh20,129446
2:56271458-56271880,3.93,1.87E-14,5.88E-14,ENSRNOG00000059278,AABR07008399.1,53408,,4:147150143-147150623,4.23,2.38E-07,7.47E-07,ENSRNOG00000008157,Syn2,0
X:123005864-123006228,4.53,1.99E-14,6.25E-14,ENSRNOG00000050198,Gzmbl1,9252,,5:78297017-78297526,4.55,2.39E-07,7.51E-07,ENSRNOG00000014869,Wdr31,8000
1:246370099-246370479,4.95,2.11E-14,6.60E-14,ENSRNOG00000051883,U6,1498,,18:14508519-14509031,3.35,2.46E-07,7.71E-07,ENSRNOG00000016671,Dtna,0
10:89352536-89352843,5.93,2.15E-14,6.69E-14,ENSRNOG00000020674,Rpl27,0,,19:830537-830957,3.68,2.49E-07,7.75E-07,ENSRNOG00000010691,Cmtm3,0
18:79617365-79617714,4.11,2.26E-14,7.02E-14,ENSRNOG00000054696,AC127118.1,26018,,6:29375662-29376143,2.66,2.53E-07,7.87E-07,ENSRNOG00000005371,Klhl29,0
2:189194920-189195375,5.47,2.31E-14,7.15E-14,ENSRNOG00000020797,She,3921,,6:96485603-96486187,3.24,2.62E-07,8.08E-07,ENSRNOG00000004873,Prkch,0
1:124650168-124650876,2.82,2.34E-14,7.21E-14,ENSRNOG00000015503,Otud7a,0,,X:45522289-45522650,4.64,2.62E-07,8.08E-07,ENSRNOG00000026157,RGD1562200,0
1:94445216-94445610,4.8,2.36E-14,7.26E-14,ENSRNOG00000055333,AABR07003040.1,5658,,13:71332503-71332910,4.87,2.62E-07,8.08E-07,ENSRNOG00000049560,Glul,0
13:52174774-52175142,3.25,2.37E-14,7.28E-14,ENSRNOG00000051548,Lmod1,0,,14:105083866-105084504,3.62,2.71E-07,8.34E-07,ENSRNOG00000056722,AABR07016578.2,0
1:85382617-85383168,4.66,2.42E-14,7.42E-14,ENSRNOG00000058388,Zfp36,11,,19:40091354-40091709,3.6,2.77E-07,8.50E-07,ENSRNOG00000061454,AABR07043776.1,420446
7:91181053-91181592,4.73,2.58E-14,7.88E-14,ENSRNOG00000004387,Utp23,202595,,12:50127322-50127764,3.13,2.81E-07,8.59E-07,ENSRNOG00000025612,Sez6l,0
2:227250640-227251104,5.63,2.64E-14,8.05E-14,ENSRNOG00000014867,Synpo2,4798,,10:89146136-89146538,3.87,2.85E-07,8.68E-07,ENSRNOG00000020336,Ezh1,15798
10:94149627-94150032,4.87,2.82E-14,8.55E-14,ENSRNOG00000007433,Cyb561,2072,,10:59884630-59885466,3.79,2.94E-07,8.91E-07,ENSRNOG00000019659,Aspa,0
8:77367064-77367472,3.56,2.82E-14,8.55E-14,ENSRNOG00000060338,Lipc,0,,6:37577601-37577934,3.5,2.94E-07,8.91E-07,ENSRNOG00000052758,Fam49a,0
13:90674336-90674961,3.6,2.98E-14,8.98E-14,ENSRNOG00000007290,Atp1a2,0,,9:81323183-81323533,3.56,3.02E-07,9.13E-07,ENSRNOG00000014182,Tns1,0
2:179702815-179703250,3.52,3.03E-14,9.11E-14,ENSRNOG00000054204,Gria2,0,,14:3583721-3584283,3.62,3.16E-07,9.47E-07,ENSRNOG00000002093,Tgfbr3,0
5:145928986-145929411,3.81,3.05E-14,9.16E-14,ENSRNOG00000048129,LOC682102,94285,,10:75966751-75967235,3.14,3.16E-07,9.47E-07,ENSRNOG00000025338,Msi2,0
9:36988871-36989409,3.59,3.10E-14,9.26E-14,ENSRNOG00000011124,AABR07067267.1,67719,,2:116945081-116945482,3.66,3.23E-07,9.67E-07,ENSRNOG00000023908,Egfem1,24862
5:56987252-56987626,5.92,3.23E-14,9.64E-14,ENSRNOG00000006582,Aptx,283,,5:151301047-151301458,4.08,3.25E-07,9.70E-07,ENSRNOG00000042855,Ahdc1,23883
6:114358979-114359336,4.96,3.33E-14,9.89E-14,ENSRNOG00000035293,5S_rRNA,26006,,6:129808885-129809527,3.86,3.37E-07,1.00E-06,ENSRNOG00000005274,Vrk1,26392
6:10321348-10321827,4.09,3.54E-14,1.05E-13,ENSRNOG00000021318,Epas1,0,,5:127351590-127352023,3.7,3.37E-07,1.00E-06,ENSRNOG00000013064,Lrp8,52427
6:25082683-25083102,5.69,3.76E-14,1.11E-13,ENSRNOG00000007744,Ehd3,0,,14:78814317-78814789,3.05,3.41E-07,1.01E-06,ENSRNOG00000058202,Ppp2r2c,0
2:93675011-93675322,5.91,3.74E-14,1.11E-13,ENSRNOG00000010482,Impa1,0,,6:131994744-131995102,4.99,3.60E-07,1.06E-06,ENSRNOG00000006587,LOC100910833,28843
15:42862800-42863394,4.01,4.11E-14,1.21E-13,ENSRNOG00000027839,Ptk2b,0,,6:48391648-48392104,2.97,3.71E-07,1.09E-06,ENSRNOG00000004269,Myt1l,60265
15:34270549-34270885,4.52,4.17E-14,1.22E-13,ENSRNOG00000019438,Rnf31,0,,9:27468885-27469305,3.68,3.69E-07,1.09E-06,ENSRNOG00000033402,LOC501110,5968
5:105243230-105243977,3.87,4.52E-14,1.32E-13,ENSRNOG00000007637,Acer2,0,,7:136808210-136808614,4.02,3.80E-07,1.11E-06,ENSRNOG00000006235,Nell2,0
1:279231870-279232191,3.84,4.54E-14,1.32E-13,ENSRNOG00000017438,Gfra1,0,,18:63236983-63237359,3.87,3.86E-07,1.13E-06,ENSRNOG00000025324,Spire1,0
10:76016778-76017129,5.91,4.83E-14,1.40E-13,ENSRNOG00000025338,Msi2,0,,13:36149953-36150318,4.15,3.91E-07,1.14E-06,ENSRNOG00000046889,Dbi,0
3:174053427-174053760,4.29,4.82E-14,1.40E-13,ENSRNOG00000061570,AABR07072963.1,6472,,8:62753728-62754450,3.9,3.99E-07,1.16E-06,ENSRNOG00000007687,Sema7a,7861
14:3644026-3644388,3.19,5.00E-14,1.44E-13,ENSRNOG00000002093,Tgfbr3,0,,1:124650168-124650876,2.57,4.05E-07,1.17E-06,ENSRNOG00000015503,Otud7a,0
8:105567361-105567762,3.16,4.97E-14,1.44E-13,ENSRNOG00000037129,AABR07071223.1,40603,,1:133408984-133409263,3.51,4.12E-07,1.19E-06,ENSRNOG00000009932,Mctp2,0
4:2787332-2787804,4.1,5.12E-14,1.47E-13,ENSRNOG00000010353,Dnajb6,12443,,1:87356655-87357222,3.06,4.21E-07,1.21E-06,ENSRNOG00000020703,Sipa1l3,0
6:76175823-76176493,4.27,5.45E-14,1.56E-13,ENSRNOG00000007114,Psma6,0,,20:13741296-13741704,3.86,4.28E-07,1.23E-06,ENSRNOG00000006589,Mif,8438
3:155252007-155252469,4.36,5.50E-14,1.58E-13,ENSRNOG00000015614,Ppp1r16b,0,,5:59087768-59088186,3.38,4.39E-07,1.26E-06,ENSRNOG00000016309,Rgp1,0
4:74769848-74770220,3.94,6.09E-14,1.73E-13,ENSRNOG00000006617,LOC100364190,555431,,12:43739825-43740187,3.15,4.38E-07,1.26E-06,ENSRNOG00000058699,AABR07036452.1,80836
3:91758640-91759012,4.46,6.09E-14,1.73E-13,ENSRNOG00000058157,Ldlrad3,0,,10:86268046-86268461,2.79,4.50E-07,1.28E-06,ENSRNOG00000028417,AC142182.1,12431
9:113478725-113479108,4.12,6.25E-14,1.78E-13,ENSRNOG00000042189,Rab31,0,,12:17865130-17865524,4.07,4.61E-07,1.31E-06,ENSRNOG00000032693,LOC498155,0
10:89146136-89146538,4.35,7.31E-14,2.07E-13,ENSRNOG00000020336,Ezh1,15798,,19:21367912-21368352,3.17,4.63E-07,1.31E-06,ENSRNOG00000052466,AABR07043106.1,0
4:132512716-132513215,3.88,7.77E-14,2.20E-13,ENSRNOG00000054758,AABR07061535.1,100721,,10:96275336-96275809,4.97,4.74E-07,1.34E-06,ENSRNOG00000003491,Prkca,0
11:69875461-69875857,4.72,8.28E-14,2.33E-13,ENSRNOG00000001706,Kalrn,0,,4:132570918-132571280,3.76,4.81E-07,1.36E-06,ENSRNOG00000005353,Rybp,118251
10:4974417-4974748,4.82,8.55E-14,2.40E-13,ENSRNOG00000002568,Socs1,15957,,11:29757889-29758349,3.03,5.09E-07,1.43E-06,ENSRNOG00000027478,Krtap11-1,47041
3:162579495-162580026,3.67,8.67E-14,2.42E-13,ENSRNOG00000019154,Zmynd8,0,,3:91717940-91718318,3.75,5.14E-07,1.44E-06,ENSRNOG00000058157,Ldlrad3,0
19:58824930-58825275,4.28,8.62E-14,2.42E-13,ENSRNOG00000019937,Kcnk1,0,,8:77367064-77367472,3.18,5.24E-07,1.47E-06,ENSRNOG00000060338,Lipc,0
9:904220-904528,3.92,8.69E-14,2.42E-13,ENSRNOG00000047886,AABR07066059.2,49983,,1:198103871-198104365,3.08,5.29E-07,1.48E-06,ENSRNOG00000019342,Sult1a1,0
3:81588219-81588552,5.96,9.51E-14,2.64E-13,ENSRNOG00000007989,Chst1,75413,,9:17114473-17114923,5.32,5.32E-07,1.48E-06,ENSRNOG00000039856,Lrrc73,297
3:7098884-7099433,5.95,9.50E-14,2.64E-13,ENSRNOG00000010219,Ralgds,10487,,1:221167775-221168134,5.03,5.40E-07,1.50E-06,ENSRNOG00000023668,Scyl1,38131
5:152573315-152573698,5.92,9.95E-14,2.75E-13,ENSRNOG00000016776,Extl1,60,,9:44262362-44262811,3.16,5.67E-07,1.57E-06,ENSRNOG00000018366,RGD1310819,25246
12:50366569-50366928,6.07,1.05E-13,2.91E-13,ENSRNOG00000000664,Tpst2,0,,15:89926109-89926477,3.88,5.66E-07,1.57E-06,ENSRNOG00000049068,AABR07019120.1,69307
10:86229332-86229733,3.22,1.15E-13,3.16E-13,ENSRNOG00000028430,LOC257650,0,,17:23135754-23136168,3.68,5.75E-07,1.58E-06,ENSRNOG00000014548,Nedd9,0
2:141710435-141710806,3.8,1.19E-13,3.27E-13,ENSRNOG00000054842,AABR07010587.1,69999,,12:39738199-39738601,3.68,5.73E-07,1.58E-06,ENSRNOG00000021440,Pptc7,0
11:66950496-66950843,4.02,1.22E-13,3.34E-13,ENSRNOG00000002305,Slc15a2,0,,2:28627098-28627501,3.74,5.94E-07,1.63E-06,ENSRNOG00000057328,U6,20289
10:20451471-20451898,4.45,1.23E-13,3.37E-13,ENSRNOG00000007377,Slit3,0,,6:3473456-3473835,4,6.43E-07,1.76E-06,ENSRNOG00000007172,Map4k3,28938
18:14508519-14509031,3.63,1.27E-13,3.44E-13,ENSRNOG00000016671,Dtna,0,,13:90740537-90740867,4.38,6.52E-07,1.78E-06,ENSRNOG00000007705,Kcnj10,0
4:64570490-64570994,3.35,1.26E-13,3.44E-13,ENSRNOG00000026705,Dgki,0,,19:59493104-59493601,3.73,6.87E-07,1.87E-06,ENSRNOG00000049900,Irf2bp2,6275
10:98752741-98753130,4.22,1.35E-13,3.65E-13,ENSRNOG00000004437,Map2k6,0,,9:114943726-114944208,3.41,7.04E-07,1.91E-06,ENSRNOG00000011700,Ptprm,0
10:96275336-96275809,6,1.53E-13,4.15E-13,ENSRNOG00000003491,Prkca,0,,4:140126450-140126866,4.04,7.30E-07,1.98E-06,ENSRNOG00000006813,Sumf1,12137
3:11770927-11771376,4.33,1.57E-13,4.22E-13,ENSRNOG00000054560,Sh2d3c,0,,3:165160199-165160628,2.59,7.38E-07,1.99E-06,ENSRNOG00000012175,Nfatc2,84610
2:31133076-31133602,4.2,1.64E-13,4.42E-13,ENSRNOG00000048656,LOC100364827,245141,,15:4139275-4140383,3.15,7.44E-07,2.00E-06,ENSRNOG00000027012,Usp54,0
1:256951541-256951938,3.91,1.69E-13,4.53E-13,ENSRNOG00000014758,Lgi1,3714,,14:107433609-107434030,3.68,7.80E-07,2.09E-06,ENSRNOG00000033346,LOC100361636,38225
16:7884290-7884686,4.4,1.69E-13,4.53E-13,ENSRNOG00000019697,Ankrd28,0,,X:111111232-111111578,3.46,7.96E-07,2.13E-06,ENSRNOG00000061101,Ripply1,8769
6:124701281-124701956,4.13,1.77E-13,4.72E-13,ENSRNOG00000004362,Rps6ka5,0,,9:27025056-27025395,4.62,8.83E-07,2.36E-06,ENSRNOG00000057549,SNORA17,5743
1:221167775-221168134,5.96,1.95E-13,5.19E-13,ENSRNOG00000023668,Scyl1,38131,,20:7613238-7613717,3.59,9.15E-07,2.43E-06,ENSRNOG00000000498,Anks1a,0
16:47718865-47719244,5.41,2.00E-13,5.30E-13,ENSRNOG00000013480,Ing2,0,,12:24093696-24094145,3.66,9.16E-07,2.43E-06,ENSRNOG00000001443,Rhbdd2,0
3:9498717-9499658,5.23,2.08E-13,5.52E-13,ENSRNOG00000059375,AC142138.2,0,,2:56380456-56380812,3.61,9.18E-07,2.43E-06,ENSRNOG00000011696,Lifr,45555
13:73512547-73513132,4.51,2.14E-13,5.66E-13,ENSRNOG00000003882,Cep350,0,,10:65502724-65503096,3.84,9.20E-07,2.43E-06,ENSRNOG00000012240,Supt6h,0
17:76892044-76892545,4.02,2.17E-13,5.73E-13,ENSRNOG00000017882,Camk1d,0,,8:106594195-106594573,3.59,9.57E-07,2.52E-06,ENSRNOG00000060723,Copb2,0
15:34196182-34196556,4.25,2.18E-13,5.73E-13,ENSRNOG00000018528,Nrl,637,,5:144771390-144771958,3.36,9.80E-07,2.58E-06,ENSRNOG00000011751,Ncdn,0
1:265241795-265242174,2.97,2.22E-13,5.82E-13,ENSRNOG00000016280,Btrc,0,,8:100241316-100241672,4.01,9.91E-07,2.60E-06,ENSRNOG00000008363,AABR07071101.1,18377
10:33048834-33049406,3.76,2.29E-13,5.99E-13,ENSRNOG00000054952,U1,75703,,3:162579495-162580026,3.11,9.97E-07,2.61E-06,ENSRNOG00000019154,Zmynd8,0
15:58846929-58847343,5.19,2.33E-13,6.09E-13,ENSRNOG00000057847,AABR07018459.1,11838,,3:11448598-11448991,2.89,1.02E-06,2.65E-06,ENSRNOG00000014338,Slc25a25,0
6:25811001-25811351,4.26,2.35E-13,6.13E-13,ENSRNOG00000004364,Bre,0,,13:98661283-98661594,4.58,1.09E-06,2.83E-06,ENSRNOG00000002969,Itpkb,0
7:121230714-121231078,5.83,2.40E-13,6.22E-13,ENSRNOG00000017197,Pdgfb,0,,16:47718865-47719244,4.81,1.11E-06,2.88E-06,ENSRNOG00000013480,Ing2,0
19:44015626-44016137,3.34,2.41E-13,6.22E-13,ENSRNOG00000019326,Cfdp1,0,,8:12935557-12936045,4.49,1.11E-06,2.88E-06,ENSRNOG00000024726,Kdm4d,32148
10:39446658-39447401,5.24,2.41E-13,6.22E-13,ENSRNOG00000033663,P4ha2,0,,4:179004768-179005148,3.93,1.14E-06,2.94E-06,ENSRNOG00000059511,SNORA17,49668
6:104491854-104492319,6.2,2.40E-13,6.22E-13,ENSRNOG00000045941,Susd6,0,,9:31994134-31994492,3.73,1.15E-06,2.96E-06,ENSRNOG00000012045,Adgrb3,0
14:107433609-107434030,4.41,2.46E-13,6.33E-13,ENSRNOG00000033346,LOC100361636,38225,,17:74817887-74818309,3.16,1.17E-06,3.00E-06,ENSRNOG00000055896,U6,16255
9:81475749-81476133,4.19,2.52E-13,6.46E-13,ENSRNOG00000048239,Cxcr1,6476,,7:143706568-143707233,3.15,1.19E-06,3.04E-06,ENSRNOG00000010588,Tns2,4
5:58848156-58848888,5.42,2.57E-13,6.58E-13,ENSRNOG00000045843,Rusc2,6885,,11:74137387-74137831,5.09,1.19E-06,3.05E-06,ENSRNOG00000024384,Cpn2,69975
4:122365897-122366331,4.63,2.72E-13,6.95E-13,ENSRNOG00000017808,Klf15,0,,X:10207071-10207424,4.61,1.20E-06,3.07E-06,ENSRNOG00000009646,Nyx,0
17:7322243-7322646,3.56,2.76E-13,7.04E-13,ENSRNOG00000053948,AABR07026969.1,279658,,1:85382617-85383168,3.14,1.21E-06,3.08E-06,ENSRNOG00000058388,Zfp36,11
20:4329560-4330002,4.12,2.96E-13,7.53E-13,ENSRNOG00000000443,C4a,0,,13:95521240-95521755,2.55,1.28E-06,3.25E-06,ENSRNOG00000004423,Zfp238,67913
11:81286505-81286920,4.48,2.99E-13,7.57E-13,ENSRNOG00000056908,AABR07034610.1,25219,,20:29484039-29484553,5.17,1.28E-06,3.25E-06,ENSRNOG00000030408,Dnajb12,20302
