PeakCoordinates,log2 Fold Change MR (FS30 vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance,,PeakCoordinates,log2 Fold Change MR (BLPM vs BLAM),p-value,FDR,ClosestGeneID,ClosestGeneName,ClosestGeneDistance
6:35397330-35397727,1.23,0.00627,1.190E-02,ENSRNOG00000054675,AABR07063565.1,53523,,20:37700892-37701291,1.19,0.00379,7.20E-03,ENSRNOG00000000802,Tbc1d32,0
1:197570078-197570455,1.88,0.00636,1.210E-02,ENSRNOG00000016722,Xpo6,0,,X:70433809-70434119,1.39,0.00386,7.32E-03,ENSRNOG00000002904,Arr3,4498
19:59493181-59493635,1.81,0.00646,1.220E-02,ENSRNOG00000049900,Irf2bp2,6241,,4:86111936-86112238,2.29,0.00388,7.36E-03,ENSRNOG00000012165,Ccdc129,13078
3:164696004-164696456,2.23,0.00649,1.230E-02,ENSRNOG00000010574,Ptpn1,0,,4:104198004-104198509,1.69,0.00391,7.39E-03,ENSRNOG00000058873,AABR07061096.1,92035
16:67717926-67718325,1.93,0.00657,1.240E-02,ENSRNOG00000011858,Unc5d,122702,,5:58389979-58390459,0.96,0.00394,7.45E-03,ENSRNOG00000000130,Dnajb5,2774
6:46662095-46662410,1.8,0.00689,1.300E-02,ENSRNOG00000030034,Sox11,30113,,14:39497641-39498211,1.58,0.00394,7.45E-03,ENSRNOG00000057953,Cox7b2,128873
10:85094352-85094808,1.49,0.00693,1.310E-02,ENSRNOG00000009275,Kpnb1,0,,3:124355085-124355480,1.75,0.00401,7.55E-03,ENSRNOG00000045581,LOC103691893,105250
6:128541249-128541790,1.18,0.00694,1.310E-02,ENSRNOG00000011044,Clmn,0,,3:91758677-91758989,2.01,0.00401,7.55E-03,ENSRNOG00000058157,Ldlrad3,0
6:130247829-130248282,1.81,0.00703,1.320E-02,ENSRNOG00000057859,AABR07065476.1,43523,,17:73035192-73035713,1.13,0.00409,7.69E-03,ENSRNOG00000058351,AABR07028511.1,28944
13:113405589-113405909,1.89,0.00705,1.330E-02,ENSRNOG00000007324,Plxna2,0,,2:80523724-80524342,2.52,0.0042,7.90E-03,ENSRNOG00000012148,Trio,0
4:99203204-99203587,1.78,0.00722,1.360E-02,ENSRNOG00000007129,Cd8b,1182,,1:215040364-215040748,1.7,0.00422,7.93E-03,ENSRNOG00000029394,Dusp8,6905
7:25366353-25366951,1.47,0.00721,1.360E-02,ENSRNOG00000061363,AABR07056438.1,207392,,13:12273440-12274026,1.2,0.00428,8.03E-03,ENSRNOG00000048245,AABR07020058.1,388231
2:220260911-220261522,1.36,0.0073,1.370E-02,ENSRNOG00000016872,Lppr4,36723,,12:25858757-25859141,1.92,0.00429,8.04E-03,ENSRNOG00000051549,U6,79059
7:128371338-128371759,1.23,0.0073,1.370E-02,ENSRNOG00000049349,Fam19a5,128252,,3:153559463-153559848,1.81,0.0043,8.05E-03,ENSRNOG00000009495,Src,21013
12:45995886-45996319,2.21,0.00768,1.430E-02,ENSRNOG00000032684,Ccdc60,46094,,4:44447193-44447695,1.56,0.0044,8.23E-03,ENSRNOG00000051952,Tes,86789
4:174298742-174299317,1.12,0.00765,1.430E-02,ENSRNOG00000050371,AABR07062395.2,4784,,9:62689447-62689974,1.8,0.00442,8.26E-03,ENSRNOG00000056520,AABR07067767.1,103313
11:79117913-79118553,0.99,0.00766,1.430E-02,ENSRNOG00000051670,AABR07034573.1,15269,,8:66126165-66126486,1.88,0.00445,8.31E-03,ENSRNOG00000053878,AABR07070335.1,59950
7:125261033-125261439,2.21,0.00762,1.430E-02,ENSRNOG00000055305,Parvb,0,,1:18966890-18967373,1.71,0.00451,8.40E-03,ENSRNOG00000011134,Lama2,0
12:17299799-17300294,1.28,0.0077,1.440E-02,ENSRNOG00000001289,LOC498154,0,,2:96785667-96786228,2.03,0.00455,8.47E-03,ENSRNOG00000012095,Pkia,117446
18:74269818-74270181,1.46,0.00775,1.440E-02,ENSRNOG00000016987,Pstpip2,0,,14:19676235-19676595,1.84,0.00456,8.47E-03,ENSRNOG00000061229,SNORA17,118749
6:126397045-126397375,1.68,0.0078,1.450E-02,ENSRNOG00000007699,Golga5,18436,,12:31543916-31544360,1.37,0.00457,8.49E-03,ENSRNOG00000022893,Rimbp2,0
10:42812558-42813161,1.01,0.00782,1.450E-02,ENSRNOG00000045816,Gria1,52359,,3:124359983-124360502,1.2,0.00457,8.49E-03,ENSRNOG00000045581,LOC103691893,100228
12:1510242-1510774,0.98,0.00778,1.450E-02,ENSRNOG00000055570,AABR07034940.2,0,,3:124524862-124525310,2.21,0.00459,8.51E-03,ENSRNOG00000021259,Prnp,0
1:34372378-34372687,1.7,0.00792,1.470E-02,ENSRNOG00000057928,AABR07001025.1,100459,,5:169260922-169261359,1.57,0.00468,8.66E-03,ENSRNOG00000022694,Plekhg5,0
6:55556047-55556582,1.51,0.00804,1.480E-02,ENSRNOG00000005096,Bzw2,29764,,4:151481376-151481844,1.8,0.00469,8.67E-03,ENSRNOG00000008168,Wnt5b,19113
10:20182350-20182799,1.61,0.00802,1.480E-02,ENSRNOG00000007377,Slit3,138079,,11:33093369-33093742,1.39,0.00476,8.80E-03,ENSRNOG00000054634,AABR07033645.1,0
5:169656894-169657369,0.98,0.00804,1.480E-02,ENSRNOG00000011550,Kcnab2,0,,18:48009589-48009986,1.92,0.00477,8.80E-03,ENSRNOG00000058146,AABR07032123.2,50296
17:7283170-7283610,1.8,0.00799,1.480E-02,ENSRNOG00000019533,Klhl3,253931,,1:84066168-84066493,1.84,0.00498,9.18E-03,ENSRNOG00000020848,Adck4,0
18:81285783-81286076,1.2,0.00798,1.480E-02,ENSRNOG00000043357,Zfp407,0,,6:100930206-100930629,1.41,0.00506,9.32E-03,ENSRNOG00000059409,SNORA17,53232
3:122189174-122189661,1.36,0.0081,1.490E-02,ENSRNOG00000026036,Pdyn,4668,,18:73961885-73962418,2.39,0.00514,9.46E-03,ENSRNOG00000054472,AABR07032621.1,8992
1:164174627-164175028,1.85,0.00834,1.530E-02,ENSRNOG00000027228,Mogat2,6736,,6:35397330-35397727,1.24,0.00514,9.46E-03,ENSRNOG00000054675,AABR07063565.1,53523
4:12134645-12135099,1.94,0.00851,1.560E-02,ENSRNOG00000051840,U6,48496,,5:150199141-150199547,2.1,0.00517,9.50E-03,ENSRNOG00000010037,Epb4.1,32065
7:12723214-12723759,1.05,0.00856,1.570E-02,ENSRNOG00000009760,Palm,0,,11:38281335-38281753,1.4,0.00528,9.68E-03,ENSRNOG00000001618,Ripk4,7119
11:69769300-69770123,1.79,0.0087,1.590E-02,ENSRNOG00000001706,Kalrn,0,,16:3492921-3493438,1.33,0.00529,9.69E-03,ENSRNOG00000015148,Erc2,0
5:86659759-86660146,1.29,0.00869,1.590E-02,ENSRNOG00000005932,Megf9,0,,7:104963813-104964214,2.29,0.00531,9.72E-03,ENSRNOG00000053215,AABR07058210.1,137793
8:118083016-118083406,1.34,0.00872,1.600E-02,ENSRNOG00000020748,Map4,0,,6:99968606-99968941,1.18,0.00541,9.88E-03,ENSRNOG00000007660,Fntb,1619
13:88901894-88902230,1.56,0.00882,1.610E-02,ENSRNOG00000042929,LOC100361087,0,,3:177166424-177166756,1.71,0.00541,9.88E-03,ENSRNOG00000043071,RGD1561282,0
6:95119406-95119774,1.87,0.00893,1.630E-02,ENSRNOG00000004794,Rtn1,58233,,17:74895134-74895525,1.39,0.00541,9.88E-03,ENSRNOG00000055896,U6,93502
1:153786546-153787167,1.83,0.00903,1.650E-02,ENSRNOG00000050403,AABR07004743.1,14267,,5:151301019-151301508,2.15,0.00551,0.0100,ENSRNOG00000042855,Ahdc1,23855
17:90511131-90511590,1.6,0.00917,1.670E-02,ENSRNOG00000058094,Lyst,0,,7:119662864-119663404,1.8,0.00555,0.0101,ENSRNOG00000000184,Tmprss6,0
6:92819307-92819715,1.58,0.0094,1.710E-02,ENSRNOG00000057934,Tmx1,44408,,10:8643447-8643987,1.03,0.00554,0.0101,ENSRNOG00000002827,Rbfox1,0
2:29920878-29921326,0.99,0.00961,1.750E-02,ENSRNOG00000054044,SNORA17,9379,,5:56987196-56987630,2.03,0.00555,0.0101,ENSRNOG00000006582,Aptx,279
3:140476288-140477027,1.06,0.00973,1.770E-02,ENSRNOG00000036964,Ralgapa2,0,,2:29506036-29506422,1.9,0.00559,0.0101,ENSRNOG00000017249,Zfp366,7373
5:136903070-136903468,1.82,0.00983,1.780E-02,ENSRNOG00000019843,St3gal3,0,,5:68651480-68651907,1.3,0.00555,0.0101,ENSRNOG00000049790,Olr848,31326
1:155628216-155628638,1.23,0.00991,1.790E-02,ENSRNOG00000051568,AABR07004776.1,326194,,5:74367999-74368685,2.44,0.00561,0.0102,ENSRNOG00000011425,Ptpn3,0
8:35053844-35054307,1.67,0.00991,1.790E-02,ENSRNOG00000059871,SNORA17,86672,,17:6507090-6507497,1.04,0.00565,0.0102,ENSRNOG00000018853,Slc28a3,0
10:64036536-64037201,1.24,0.00989,1.790E-02,ENSRNOG00000061429,Rph3al,0,,10:110468057-110468370,2.48,0.00561,0.0102,ENSRNOG00000036663,Foxk2,920
7:109204897-109205690,1.31,0.01,1.810E-02,ENSRNOG00000025140,Zfat,0,,6:3523069-3523501,1.61,0.00567,0.0102,ENSRNOG00000061417,U1,9971
2:27989758-27990344,1.59,0.0101,1.830E-02,ENSRNOG00000025274,Hexb,0,,4:117866634-117867243,1.41,0.00572,0.0103,ENSRNOG00000015903,Add2,0
1:11151224-11151616,1.29,0.0102,1.840E-02,ENSRNOG00000059769,AABR07000356.1,375460,,5:92246310-92246996,1.59,0.00582,0.0105,ENSRNOG00000023946,Tmem261,207165
1:104618283-104618940,1.09,0.0103,1.850E-02,ENSRNOG00000014530,Nav2,0,,1:49143900-49144481,1.24,0.00584,0.0105,ENSRNOG00000055141,AABR07001518.1,9836
8:129925998-129926346,1.31,0.0102,1.850E-02,ENSRNOG00000019271,Ulk4,6879,,10:37353188-37353696,2.01,0.0059,0.0106,ENSRNOG00000004956,Jade2,41564
7:123346856-123347273,1.43,0.0105,1.880E-02,ENSRNOG00000007003,Mei1,0,,15:74710772-74711159,1.32,0.0059,0.0106,ENSRNOG00000056306,SNORA17,13006
16:21331257-21331636,1.49,0.0105,1.880E-02,ENSRNOG00000010736,Pbx4,0,,7:121639333-121639700,1.61,0.00587,0.0106,ENSRNOG00000060407,Cacna1i,20140
5:149649661-149650170,1.11,0.0105,1.880E-02,ENSRNOG00000058693,AABR07050061.1,16397,,13:35554635-35554958,2.14,0.00607,0.0109,ENSRNOG00000047257,Tmem185b,6
1:246255291-246255630,1.6,0.0106,1.900E-02,ENSRNOG00000051883,U6,116347,,1:47191703-47192047,1.62,0.00617,0.0111,ENSRNOG00000018158,Tmem181,0
5:127351610-127352027,1.85,0.0107,1.910E-02,ENSRNOG00000013064,Lrp8,52423,,2:81346395-81346767,1.5,0.00633,0.0113,ENSRNOG00000048363,Dnah5,202949
3:8831655-8832168,3.3,0.0107,1.910E-02,ENSRNOG00000016794,Phyhd1,572,,1:46551485-46551869,1.34,0.00637,0.0114,ENSRNOG00000029049,Zdhhc14,0
8:111567099-111567423,1.79,0.0108,1.920E-02,ENSRNOG00000009005,Slco2a1,0,,1:5170595-5170993,1.2,0.00646,0.0115,ENSRNOG00000041566,AABR07000220.1,2480
1:200753954-200754358,1.29,0.0113,2.020E-02,ENSRNOG00000052932,AABR07005808.1,13179,,12:13131738-13132164,2.06,0.00649,0.0116,ENSRNOG00000001079,Daglb,0
4:169002035-169002424,1.7,0.0115,2.060E-02,ENSRNOG00000008443,RGD1306151,0,,12:28939396-28939762,1.71,0.00652,0.0116,ENSRNOG00000024435,Wbscr17,0
10:74558578-74558921,1.26,0.0116,2.060E-02,ENSRNOG00000024730,Ppm1e,0,,7:123346856-123347273,1.54,0.00665,0.0118,ENSRNOG00000007003,Mei1,0
10:64162532-64162997,2.24,0.0117,2.070E-02,ENSRNOG00000025287,RGD1565611,11934,,4:140126276-140126836,1.47,0.00678,0.0120,ENSRNOG00000006813,Sumf1,12167
1:72462187-72462618,1.39,0.0117,2.080E-02,ENSRNOG00000042414,Nat14,0,,13:88901894-88902230,1.34,0.00677,0.0120,ENSRNOG00000042929,LOC100361087,0
16:47718898-47719600,1.65,0.0118,2.090E-02,ENSRNOG00000013480,Ing2,0,,18:62121507-62121997,1.22,0.00688,0.0122,ENSRNOG00000018770,Pmaip1,52673
2:189205845-189206335,1.25,0.0121,2.150E-02,ENSRNOG00000020811,Il6r,0,,5:105366795-105367407,1.21,0.00696,0.0123,ENSRNOG00000008169,Slc24a2,0
18:56193284-56194020,0.92,0.0122,2.160E-02,ENSRNOG00000018712,Camk2a,0,,1:274472120-274472577,1.62,0.00699,0.0123,ENSRNOG00000014705,Rbm20,0
13:47422883-47423197,1.37,0.0125,2.200E-02,ENSRNOG00000004162,Pfkfb2,0,,7:11677720-11678083,1.81,0.00691,0.0123,ENSRNOG00000019682,Timm13,0
9:17114273-17114888,1.39,0.0124,2.200E-02,ENSRNOG00000039856,Lrrc73,97,,2:189205845-189206335,1.41,0.00697,0.0123,ENSRNOG00000020811,Il6r,0
6:40988929-40989434,1.76,0.0125,2.210E-02,ENSRNOG00000004110,Trib2,27296,,11:86990025-86990312,1.44,0.00693,0.0123,ENSRNOG00000030920,Rtn4r,2087
4:128314890-128315391,1.02,0.0125,2.210E-02,ENSRNOG00000024560,Npap60,48809,,18:80346998-80347503,1.02,0.00697,0.0123,ENSRNOG00000053053,AABR07032759.1,45939
10:108655297-108655823,1.17,0.0128,2.250E-02,ENSRNOG00000003699,Endov,8621,,1:164174627-164175028,1.91,0.0071,0.0125,ENSRNOG00000027228,Mogat2,6736
17:1541125-1541627,1.66,0.0128,2.250E-02,ENSRNOG00000019096,Hsd17b3,37692,,1:139719261-139719868,1.25,0.00707,0.0125,ENSRNOG00000057436,U1,114719
16:5396220-5396607,2.33,0.0128,2.260E-02,ENSRNOG00000031287,Cacna2d3,0,,2:9601308-9601672,2.09,0.00723,0.0127,ENSRNOG00000016252,Mblac2,0
3:81351156-81351706,1.32,0.0129,2.270E-02,ENSRNOG00000007478,Cry2,7047,,19:24216745-24217150,1.09,0.00735,0.0129,ENSRNOG00000003479,Rnf150,0
7:30991209-30991608,1.75,0.013,2.280E-02,ENSRNOG00000024870,Anks1b,0,,20:13928523-13928946,1.33,0.00745,0.0131,ENSRNOG00000001237,Cabin1,0
7:31425974-31426550,1.33,0.0133,2.340E-02,ENSRNOG00000024870,Anks1b,0,,5:156645787-156646117,1.1,0.00746,0.0131,ENSRNOG00000014970,Kif17,0
2:28626979-28627538,1.28,0.0135,2.360E-02,ENSRNOG00000057328,U6,20170,,1:246416286-246416689,1.16,0.00765,0.0134,ENSRNOG00000014768,Glis3,0
1:139719261-139719868,1.15,0.0135,2.360E-02,ENSRNOG00000057436,U1,114719,,20:19987699-19988185,1.65,0.00763,0.0134,ENSRNOG00000041291,AABR07044767.1,44105
3:31864964-31865479,1.06,0.0136,2.370E-02,ENSRNOG00000054317,7SK,5654,,3:122189174-122189661,1.44,0.00774,0.0135,ENSRNOG00000026036,Pdyn,4668
1:221167743-221168056,1.36,0.0137,2.390E-02,ENSRNOG00000023668,Scyl1,38099,,10:66522749-66523164,1.15,0.00785,0.0137,ENSRNOG00000023182,RGD1565317,13251
19:34292550-34292906,1.38,0.0138,2.400E-02,ENSRNOG00000013152,Arhgap10,0,,15:15253363-15253926,1.85,0.00791,0.0138,ENSRNOG00000008570,Cadps,21615
5:171261867-171262340,1.27,0.0137,2.400E-02,ENSRNOG00000025030,Dffb,0,,8:44143834-44144219,0.92,0.00801,0.0140,ENSRNOG00000057221,Scn3b,0
2:259742713-259743082,1.19,0.0138,2.410E-02,ENSRNOG00000056894,St6galnac3,0,,15:70009852-70010407,1.82,0.00807,0.0141,ENSRNOG00000008986,Diaph3,29017
12:13742259-13742796,1.31,0.0143,2.490E-02,ENSRNOG00000001117,Fbxl18,0,,4:125226271-125226643,1.18,0.00813,0.0141,ENSRNOG00000059421,AABR07061448.2,21587
12:11478021-11478357,1.99,0.0144,2.500E-02,ENSRNOG00000000999,Smurf1,0,,14:2083982-2084833,2.16,0.0082,0.0142,ENSRNOG00000000044,Tmem175,0
2:263282330-263282711,1.61,0.0144,2.500E-02,ENSRNOG00000021410,Negr1,0,,1:247514135-247514650,3.07,0.00821,0.0142,ENSRNOG00000015932,Plgrkt,0
14:46648946-46649343,2.55,0.0144,2.500E-02,ENSRNOG00000055956,AABR07015078.1,628,,16:20859131-20859484,1.1,0.0082,0.0142,ENSRNOG00000020142,Gdf1,0
3:52025725-52026171,1.67,0.0145,2.510E-02,ENSRNOG00000005359,Csrnp3,0,,19:6091205-6091570,1.57,0.00821,0.0142,ENSRNOG00000056643,Cdh8,0
7:131908844-131909242,1.86,0.0145,2.510E-02,ENSRNOG00000026128,Cpne8,110609,,7:52951119-52951548,1.62,0.00834,0.0144,ENSRNOG00000026252,E2f7,324128
12:36791590-36792010,1.36,0.0151,2.610E-02,ENSRNOG00000059211,AABR07036301.1,20568,,1:87001062-87001391,1.7,0.00836,0.0145,ENSRNOG00000020235,Hnrnpl,0
2:29506036-29506422,1.7,0.0151,2.620E-02,ENSRNOG00000017249,Zfp366,7373,,13:82574820-82575232,0.87,0.00855,0.0147,ENSRNOG00000002860,Ccdc181,0
10:55683379-55683989,0.93,0.0152,2.630E-02,ENSRNOG00000007387,Per1,3061,,17:5921188-5921526,1.99,0.0085,0.0147,ENSRNOG00000018839,Ntrk2,12203
14:81405814-81406209,1.88,0.0156,2.700E-02,ENSRNOG00000013039,Add1,0,,10:64106721-64107155,0.92,0.00854,0.0147,ENSRNOG00000061429,Rph3al,0
12:15360960-15361532,1.23,0.0158,2.710E-02,ENSRNOG00000024342,Rn60_12_0174.1,13580,,10:83494866-83495251,1.74,0.00857,0.0148,ENSRNOG00000046799,Phb,5989
19:49518473-49518902,0.84,0.0157,2.710E-02,ENSRNOG00000045541,LOC687399,0,,10:66511825-66512241,1.58,0.00869,0.0149,ENSRNOG00000023182,RGD1565317,2327
19:6091205-6091570,1.46,0.0158,2.710E-02,ENSRNOG00000056643,Cdh8,0,,6:25712162-25712615,1.04,0.00871,0.0150,ENSRNOG00000004364,Bre,0
12:18438225-18438631,1.43,0.0158,2.720E-02,ENSRNOG00000059429,AABR07035506.1,16745,,10:108740784-108741161,1.88,0.00878,0.0151,ENSRNOG00000003821,Rptor,9459
16:47509616-47509997,1.81,0.016,2.750E-02,ENSRNOG00000013248,Wwc2,0,,14:14945704-14946238,1.74,0.00891,0.0153,ENSRNOG00000002070,Mrpl1,5257
7:127136285-127136629,1.59,0.0162,2.780E-02,ENSRNOG00000017057,Tbc1d22a,0,,10:91704133-91704470,1.37,0.00901,0.0154,ENSRNOG00000003501,Lyzl6,4710
8:28236166-28236560,1.46,0.0167,2.870E-02,ENSRNOG00000009149,Jam3,27701,,3:58772607-58772954,1.97,0.00912,0.0156,ENSRNOG00000001516,Rapgef4,0
4:125226271-125226643,1.15,0.017,2.900E-02,ENSRNOG00000059421,AABR07061448.2,21587,,4:169002035-169002424,1.74,0.00917,0.0157,ENSRNOG00000008443,RGD1306151,0
3:105401807-105402160,1.64,0.0173,2.960E-02,ENSRNOG00000008337,Gjd2,65320,,6:46662095-46662410,1.62,0.00936,0.0160,ENSRNOG00000030034,Sox11,30113
9:89769239-89769835,1.03,0.0175,2.980E-02,ENSRNOG00000056997,AABR07068198.3,46692,,7:12723214-12723759,0.94,0.00944,0.0161,ENSRNOG00000009760,Palm,0
18:42626122-42626471,1.3,0.0179,3.050E-02,ENSRNOG00000055180,AABR07031989.1,548426,,19:42011139-42011549,1.54,0.00944,0.0161,ENSRNOG00000052310,Pkd1l3,0
14:83091684-83092161,1.46,0.018,3.060E-02,ENSRNOG00000018144,Depdc5,0,,10:20413140-20413637,1.58,0.00948,0.0162,ENSRNOG00000007377,Slit3,0
2:179627042-179627434,0.96,0.0182,3.100E-02,ENSRNOG00000054204,Gria2,0,,3:111535940-111536582,1.05,0.00956,0.0163,ENSRNOG00000005183,Rtf1,0
2:78197650-78198142,1.52,0.0184,3.140E-02,ENSRNOG00000010589,Fam134b,0,,2:103418466-103418794,1.94,0.00961,0.0163,ENSRNOG00000013038,AABR07009572.1,331993
10:96275283-96275852,1.58,0.0185,3.150E-02,ENSRNOG00000003491,Prkca,0,,8:71740831-71741231,1.35,0.00955,0.0163,ENSRNOG00000017029,Snx1,4665
X:70433809-70434119,1.19,0.0187,3.180E-02,ENSRNOG00000002904,Arr3,4498,,4:150898645-150898996,1.44,0.00972,0.0165,ENSRNOG00000007090,Cacna1c,68733
10:66511825-66512241,1.46,0.0187,3.180E-02,ENSRNOG00000023182,RGD1565317,2327,,2:188541156-188541580,1,0.00987,0.0167,ENSRNOG00000036423,Mir92b,41
3:80816049-80816422,1.11,0.0189,3.200E-02,ENSRNOG00000017422,Ambra1,0,,19:22271711-22272077,1.28,0.00993,0.0168,ENSRNOG00000024101,Phkb,0
1:155633305-155633837,1.89,0.0189,3.200E-02,ENSRNOG00000051568,AABR07004776.1,320995,,3:52025725-52026171,1.66,0.0101,0.0171,ENSRNOG00000005359,Csrnp3,0
3:175459731-175460087,1.77,0.0189,3.200E-02,ENSRNOG00000059919,Mtg2,0,,2:212218947-212219275,1.02,0.0103,0.0174,ENSRNOG00000020485,Vav3,28176
15:69427030-69427472,1.02,0.0189,3.200E-02,ENSRNOG00000060682,U6,148656,,5:141202909-141203241,1.85,0.0104,0.0176,ENSRNOG00000016047,Macf1,0
8:66126165-66126486,1.61,0.019,3.210E-02,ENSRNOG00000053878,AABR07070335.1,59950,,3:175459731-175460087,1.91,0.0104,0.0176,ENSRNOG00000059919,Mtg2,0
1:145390227-145390592,1.49,0.0193,3.260E-02,ENSRNOG00000025088,Tmc3,325377,,3:67610455-67610842,1.13,0.0106,0.0178,ENSRNOG00000007765,Frzb,24765
2:139469156-139469568,0.91,0.0197,3.320E-02,ENSRNOG00000010210,Slc7a11,0,,5:139088125-139088589,1.73,0.0105,0.0178,ENSRNOG00000009341,Hivep3,10749
10:74706141-74706520,1.49,0.0198,3.330E-02,ENSRNOG00000006661,Rad51c,0,,2:235756677-235757270,1.67,0.0106,0.0179,ENSRNOG00000045743,Etnppl,0
5:146515081-146515456,1.45,0.0202,3.390E-02,ENSRNOG00000007057,Csmd2,0,,9:106214455-106214886,0.95,0.0107,0.0179,ENSRNOG00000046623,AABR07068455.1,268125
2:96785667-96786228,1.72,0.0202,3.390E-02,ENSRNOG00000012095,Pkia,117446,,4:12134645-12135099,1.81,0.0106,0.0179,ENSRNOG00000051840,U6,48496
17:76804286-76804740,1.48,0.0206,3.460E-02,ENSRNOG00000017882,Camk1d,0,,3:11770914-11771351,1.65,0.0107,0.0179,ENSRNOG00000054560,Sh2d3c,0
2:29966726-29967134,1.46,0.0206,3.460E-02,ENSRNOG00000054044,SNORA17,35909,,2:28626979-28627538,1.27,0.0107,0.0179,ENSRNOG00000057328,U6,20170
6:104079842-104080358,1.08,0.0208,3.480E-02,ENSRNOG00000004589,Galnt16,0,,7:144837456-144837881,0.93,0.0111,0.0185,ENSRNOG00000036841,Cbx5,0
1:101164375-101164887,1.06,0.0208,3.480E-02,ENSRNOG00000020650,Slc17a7,0,,3:6998641-6999022,1.04,0.0112,0.0187,ENSRNOG00000046993,AABR07051374.1,18557
18:27785790-27786120,1.64,0.0209,3.500E-02,ENSRNOG00000019525,Hspa9,36556,,2:143563533-143563971,1.09,0.0112,0.0188,ENSRNOG00000011133,Trpc4,0
8:22173594-22174057,1.56,0.0216,3.600E-02,ENSRNOG00000033426,Cdc37,0,,9:27214519-27214990,1.01,0.0113,0.0190,ENSRNOG00000052150,AABR07067034.1,1348
18:52310000-52310328,0.97,0.0227,3.790E-02,ENSRNOG00000013674,Megf10,0,,13:108687038-108687399,1.44,0.0115,0.0191,ENSRNOG00000003583,Smyd2,749
15:59502340-59502874,1.62,0.023,3.830E-02,ENSRNOG00000047817,Enox1,175291,,7:37936493-37936874,1.76,0.0115,0.0191,ENSRNOG00000004284,Btg1,121406
2:80523724-80524342,2.79,0.0231,3.850E-02,ENSRNOG00000012148,Trio,0,,4:128200300-128200669,1,0.0119,0.0198,ENSRNOG00000024560,Npap60,63449
2:103418466-103418794,1.73,0.0231,3.850E-02,ENSRNOG00000013038,AABR07009572.1,331993,,10:87244039-87244399,1.54,0.0119,0.0198,ENSRNOG00000033617,Krt26,0
10:59135735-59136472,2.63,0.0231,3.850E-02,ENSRNOG00000059449,Metazoa_SRP,15212,,18:71422919-71423434,1.58,0.0122,0.0202,ENSRNOG00000018359,Smad7,0
4:45164099-45164501,1.51,0.0235,3.900E-02,ENSRNOG00000056243,ST7,0,,3:145005880-145006327,1.64,0.0122,0.0202,ENSRNOG00000031536,Syndig1,25873
6:135922512-135922901,1.06,0.0236,3.920E-02,ENSRNOG00000033736,Diras3,16034,,2:197802790-197803206,1.7,0.0122,0.0202,ENSRNOG00000049385,Adamtsl4,378
10:88533243-88533683,1.38,0.0237,3.930E-02,ENSRNOG00000017781,Dnajc7,0,,19:59493181-59493635,1.65,0.0122,0.0202,ENSRNOG00000049900,Irf2bp2,6241
2:106394165-106394560,1.26,0.0238,3.940E-02,ENSRNOG00000052367,AABR07009634.1,175959,,3:6136712-6137127,1.86,0.0122,0.0202,ENSRNOG00000055021,U6atac,52678
1:46551485-46551869,1.29,0.0243,4.020E-02,ENSRNOG00000029049,Zdhhc14,0,,8:47143840-47144324,1.52,0.0123,0.0204,ENSRNOG00000030910,Grik4,49489
15:99204240-99204530,1.76,0.0246,4.070E-02,ENSRNOG00000059530,U6,4726,,10:65502766-65503431,1.6,0.0127,0.0210,ENSRNOG00000012240,Supt6h,0
10:109596774-109597160,1.13,0.0247,4.080E-02,ENSRNOG00000036698,Nploc4,0,,5:136903070-136903468,1.67,0.0127,0.0210,ENSRNOG00000019843,St3gal3,0
13:104730408-104730804,1.37,0.0249,4.110E-02,ENSRNOG00000061655,AABR07022055.1,56920,,6:25811002-25811363,1.53,0.0128,0.0211,ENSRNOG00000004364,Bre,0
1:194422957-194423341,1.3,0.0253,4.160E-02,ENSRNOG00000053245,SNORA30,304434,,18:57766706-57767256,1.28,0.013,0.0215,ENSRNOG00000019134,Htr4,0
14:23717742-23718173,1.13,0.0256,4.210E-02,ENSRNOG00000021776,Cenpc,47268,,5:131719730-131720195,1.74,0.0134,0.0220,ENSRNOG00000007568,Spata6,0
2:49370638-49370957,-2.06,0.0256,4.210E-02,ENSRNOG00000046657,LOC100910954,11458,,14:37602481-37602898,1.82,0.0137,0.0225,ENSRNOG00000002248,Fryl,0
12:25858757-25859141,1.51,0.0256,4.210E-02,ENSRNOG00000051549,U6,79059,,13:95050890-95051311,1.11,0.0137,0.0226,ENSRNOG00000004181,Sdccag8,0
4:64427643-64428020,1.45,0.0266,4.370E-02,ENSRNOG00000026705,Dgki,0,,18:52310000-52310328,1.04,0.0139,0.0228,ENSRNOG00000013674,Megf10,0
1:240343101-240343490,1.58,0.0268,4.390E-02,ENSRNOG00000057279,AABR07006566.1,1469,,9:94778706-94779067,1.58,0.0139,0.0228,ENSRNOG00000017020,Inpp5d,0
1:214293498-214293885,1.48,0.027,4.420E-02,ENSRNOG00000017960,Deaf1,0,,9:17114273-17114888,1.19,0.0141,0.0231,ENSRNOG00000039856,Lrrc73,97
1:10673833-10674238,1.12,0.0275,4.510E-02,ENSRNOG00000059769,AABR07000356.1,101401,,17:22022746-22023142,1.49,0.0143,0.0233,ENSRNOG00000060618,AABR07027267.1,0
